
Sen: 128, Thr: 1704, Mo: 1825
Sen: 128, Thr: 1708, Mo: 1951
Sen: 128, Thr: 1704, Mo: 1900
Sen: 128, Thr: 1702, Mo: 1900
Sen: 128, Thr: 1708, Mo: 1900
Sen: 128, Thr: 1710, Mo: 1900
Sen: 128, Thr: 1704, Mo: 1900
Sen: 128, Thr: 1708, Mo: 1900
Sen: 128, Thr: 1710, Mo: 1900
Sen: 128, Thr: 1714, Mo: 1900
Sen: 128, Thr: 1704, Mo: 1900
Sen: 128, Thr: 1700, Mo: 1900
Sen: 128, Thr: 1710, Mo: 1900
Sen: 128, Thr: 1714, Mo: 1900
Sen: 128, Thr: 1711, Mo: 1900
Sen: 128, Thr: 1703, Mo: 1900
Sen: 128, Thr: 1706, Mo: 1900
Sen: 128, Thr: 1706, Mo: 1900
Sen: 128, Thr: 1706, Mo: 1900
Sen: 128, Thr: 1710, Mo: 1900
Sen: 128, Thr: 1704, Mo: 1900
Sen: 128, Thr: 1700, Mo: 1900
Sen: 128, Thr: 1704, Mo: 1900
Sen: 128, Thr: 1696, Mo: 1900
Sen: 128, Thr: 1707, Mo: 1900
Sen: 128, Thr: 1707, Mo: 1900
Sen: 128, Thr: 1698, Mo: 1900
Sen: 128, Thr: 1705, Mo: 1900
Sen: 128, Thr: 1707, Mo: 1900
Sen: 128, Thr: 1706, Mo: 1900
Sen: 128, Thr: 1702, Mo: 1900
Sen: 128, Thr: 1708, Mo: 1900
Sen: 128, Thr: 1708, Mo: 1900
Sen: 128, Thr: 1697, Mo: 1900
Sen: 128, Thr: 1709, Mo: 1900
Sen: 128, Thr: 1708, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1699, Mo: 1900
Sen: 128, Thr: 1707, Mo: 1900
Sen: 128, Thr: 1709, Mo: 1900
Sen: 128, Thr: 1702, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1713, Mo: 1900
Sen: 128, Thr: 1698, Mo: 1900
Sen: 128, Thr: 1708, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1696, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1697, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1703, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1703, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1703, Mo: 1900
Sen: 128, Thr: 1703, Mo: 1900
Sen: 128, Thr: 1691, Mo: 1900
Sen: 128, Thr: 1699, Mo: 1900
Sen: 128, Thr: 1699, Mo: 1900
Sen: 128, Thr: 1700, Mo: 1900
Sen: 128, Thr: 1696, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1696, Mo: 1900
Sen: 128, Thr: 1700, Mo: 1900
Sen: 128, Thr: 1688, Mo: 1900
Sen: 128, Thr: 1688, Mo: 1900
Sen: 128, Thr: 1703, Mo: 1900
Sen: 128, Thr: 1691, Mo: 1900
Sen: 128, Thr: 1703, Mo: 1900
Sen: 128, Thr: 1687, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1702, Mo: 1900
Sen: 128, Thr: 1690, Mo: 1900
Sen: 128, Thr: 1688, Mo: 1900
Sen: 128, Thr: 1692, Mo: 1900
Sen: 128, Thr: 1698, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1698, Mo: 1900
Sen: 128, Thr: 1690, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1700, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1697, Mo: 1900
Sen: 128, Thr: 1692, Mo: 1900
Sen: 128, Thr: 1688, Mo: 1900
Sen: 128, Thr: 1689, Mo: 1900
Sen: 128, Thr: 1686, Mo: 1900
Sen: 128, Thr: 1697, Mo: 1900
Sen: 128, Thr: 1698, Mo: 1900
Sen: 128, Thr: 1695, Mo: 1900
Sen: 128, Thr: 1690, Mo: 1900
Sen: 128, Thr: 1694, Mo: 1900
Sen: 128, Thr: 1698, Mo: 1900
Sen: 128, Thr: 1692, Mo: 1900
Sen: 128, Thr: 1687, Mo: 1900
